factura_id,cliente,canal,tipo_canal,pais,mes,fecha_factura,fecha_vencimiento,plazo_dias,valor_cop,pagada,dias_mora,estado
FV-202501-00000,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-01,2025-01-13,2025-03-29,75,192015070,True,0,Al día
FV-202501-00001,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-01,2025-01-21,2025-04-06,75,146225706,True,0,Al día
FV-202501-00002,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-01,2025-01-01,2025-03-17,75,221695268,True,0,Al día
FV-202501-00003,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-01,2025-01-11,2025-03-27,75,253052773,True,0,Al día
FV-202501-00004,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-01,2025-01-27,2025-04-12,75,182250339,True,0,Al día
FV-202501-00005,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-01,2025-01-12,2025-03-28,75,267503034,True,0,Al día
FV-202501-00010,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-01,2025-01-13,2025-03-14,60,302564640,True,0,Al día
FV-202501-00020,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-01,2025-01-20,2025-03-21,60,190558238,True,0,Al día
FV-202501-00030,Suples Colombia,Distribuidores,Mayorista,Colombia,2025-01,2025-01-02,2025-02-16,45,312253369,True,0,Al día
FV-202501-00031,MiProteína,Distribuidores,Mayorista,Colombia,2025-01,2025-01-05,2025-02-19,45,326585317,True,0,Al día
FV-202501-00032,Suplementos Colombia,Distribuidores,Mayorista,Colombia,2025-01,2025-01-12,2025-02-26,45,242139542,True,0,Al día
FV-202501-00033,Nutrición Total,Distribuidores,Mayorista,Colombia,2025-01,2025-01-11,2025-02-25,45,140174907,True,0,Al día
FV-202501-00034,Distribuidora Andina,Distribuidores,Mayorista,Colombia,2025-01,2025-01-19,2025-03-05,45,304268049,True,0,Al día
FV-202501-00035,Mundo Fitness,Distribuidores,Mayorista,Colombia,2025-01,2025-01-02,2025-02-16,45,216246832,True,0,Al día
FV-202501-00036,Vital Supplements,Distribuidores,Mayorista,Colombia,2025-01,2025-01-13,2025-02-27,45,301382191,True,0,Al día
FV-202501-00037,Anabólicos del Valle,Distribuidores,Mayorista,Colombia,2025-01,2025-01-14,2025-02-28,45,207532812,True,0,Al día
FV-202501-00040,Bodytech,Gimnasios & Wellness,Especializado,Colombia,2025-01,2025-01-04,2025-02-18,45,137298358,True,0,Al día
FV-202501-00041,Smart Fit,Gimnasios & Wellness,Especializado,Colombia,2025-01,2025-01-27,2025-03-13,45,184534199,True,0,Al día
FV-202501-00042,Stark Gym,Gimnasios & Wellness,Especializado,Colombia,2025-01,2025-01-19,2025-03-05,45,132418529,True,0,Al día
FV-202501-00043,Gimnasios independientes,Gimnasios & Wellness,Especializado,Colombia,2025-01,2025-01-01,2025-02-15,45,124772831,True,0,Al día
FV-202501-00050,Cliente maquila lácteos,Maquila & Marca Propia,Maquila,Colombia,2025-01,2025-01-23,2025-03-24,60,258634576,True,0,Al día
FV-202501-00051,Marca privada retail,Maquila & Marca Propia,Maquila,Colombia,2025-01,2025-01-23,2025-03-24,60,118109594,True,0,Al día
FV-202501-00052,Marca privada gimnasios,Maquila & Marca Propia,Maquila,Colombia,2025-01,2025-01-02,2025-03-03,60,231799542,True,0,Al día
FV-202502-00060,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-02,2025-02-26,2025-05-12,75,225420538,True,0,Al día
FV-202502-00061,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-02,2025-02-24,2025-05-10,75,195785278,True,0,Al día
