oc_id,mes,fecha_orden,proveedor_id,insumo,origen,moneda,critico,kg,precio_unitario_usd,valor_usd,trm_orden,trm_pago,costo_cop,diferencia_en_cambio_cop,lead_time_plan_dias,lead_time_real_dias,dias_atraso,a_tiempo
OC-202501-0001,2025-01,2025-01-06,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,27462.6,8.56,235016.04,4410,4153,1036420738,-60399122,62,63,1,True
OC-202501-0002,2025-01,2025-01-12,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,10466.9,15.95,166899.9,4410,4153,736028548,-42893273,74,73,-1,True
OC-202501-0003,2025-01,2025-01-10,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,4724.1,11.32,53470.82,4410,4153,235806322,-13742001,68,69,1,True
OC-202501-0004,2025-01,2025-01-18,MP-004,Creatina monohidrato,Alemania,USD,1,3022.2,12.31,37189.39,4410,4153,164005200,-9557672,55,49,-6,True
OC-202501-0005,2025-01,2025-01-27,MP-007,Cafeína anhidra y taurina,China,USD,0,3592.6,8.1,29105.28,4410,4153,128354304,-7480058,82,82,0,True
OC-202501-0006,2025-01,2025-01-07,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,4736.4,8.61,40771.75,4410,4153,179803436,-10478340,65,62,-3,True
OC-202501-0007,2025-01,2025-01-04,MP-009,Maltodextrina y carbohidratos,Colombia,COP,0,6644.2,1.91,0.0,4410,4410,49530395,0,12,6,-6,True
OC-202501-0008,2025-01,2025-01-19,MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,0,7578.0,3.98,0.0,4410,4410,117650977,0,15,13,-2,True
OC-202501-0009,2025-01,2025-01-08,MP-012,"Envases, tarros y tapas",Colombia,COP,1,11012.4,4.82,0.0,4410,4410,207088093,0,22,24,2,True
OC-202501-0010,2025-01,2025-01-18,MP-013,Latas y tapas para RTD,Colombia,COP,1,8079.1,7.82,0.0,4410,4410,246497637,0,34,34,0,True
OC-202502-0011,2025-02,2025-02-07,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,25073.0,8.55,214345.74,4292,4233,919971895,-12646398,62,70,8,False
OC-202502-0012,2025-02,2025-02-12,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,9155.9,14.74,134981.59,4292,4233,579340970,-7963913,74,79,5,True
OC-202502-0013,2025-02,2025-02-23,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,7050.7,10.89,76751.31,4292,4233,329416628,-4528327,68,75,7,False
OC-202502-0014,2025-02,2025-02-03,MP-004,Creatina monohidrato,Alemania,USD,1,3659.3,13.88,50803.07,4292,4233,218046793,-2997381,55,47,-8,True
OC-202502-0015,2025-02,2025-02-23,MP-007,Cafeína anhidra y taurina,China,USD,0,7769.4,5.52,42877.06,4292,4233,184028340,-2529746,82,92,10,False
OC-202502-0016,2025-02,2025-02-09,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,4742.5,6.56,31109.71,4292,4233,133522887,-1835473,65,60,-5,True
OC-202502-0017,2025-02,2025-02-04,MP-011,Cacao y saborizantes,Colombia,COP,0,11592.4,5.35,0.0,4292,4292,241729392,0,18,14,-4,True
OC-202502-0018,2025-02,2025-02-09,MP-012,"Envases, tarros y tapas",Colombia,COP,1,8790.0,5.57,0.0,4292,4292,190850156,0,22,21,-1,True
OC-202502-0019,2025-02,2025-02-11,MP-013,Latas y tapas para RTD,Colombia,COP,1,4296.7,8.76,0.0,4292,4292,146874911,0,34,40,6,False
OC-202502-0020,2025-02,2025-02-10,MP-014,Empaque flexible y sachets,Colombia,COP,0,5451.8,1.94,0.0,4292,4292,41257769,0,20,11,-9,True
OC-202503-0021,2025-03,2025-03-16,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,27253.6,7.64,208085.77,4153,4152,864180217,-208085,62,71,9,False
OC-202503-0022,2025-03,2025-03-06,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,9797.9,14.21,139204.95,4153,4152,578118144,-139204,74,73,-1,True
OC-202503-0023,2025-03,2025-03-13,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,4880.7,11.45,55871.88,4153,4152,232035914,-55871,68,66,-2,True
OC-202503-0024,2025-03,2025-03-17,MP-004,Creatina monohidrato,Alemania,USD,1,4119.1,13.76,56659.14,4153,4152,235305400,-56659,55,52,-3,True
OC-202503-0025,2025-03,2025-03-01,MP-007,Cafeína anhidra y taurina,China,USD,0,6977.6,5.73,39950.95,4153,4152,165916300,-39950,82,88,6,False
OC-202503-0026,2025-03,2025-03-24,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,7516.5,5.55,41722.01,4153,4152,173271523,-41722,65,72,7,False
OC-202503-0027,2025-03,2025-03-19,MP-009,Maltodextrina y carbohidratos,Colombia,COP,0,9166.0,7.13,0.0,4153,4153,255022980,0,12,11,-1,True
OC-202503-0028,2025-03,2025-03-17,MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,0,5720.3,5.5,0.0,4153,4153,122707628,0,15,21,6,False
OC-202503-0029,2025-03,2025-03-15,MP-012,"Envases, tarros y tapas",Colombia,COP,1,9899.4,8.07,0.0,4153,4153,311590307,0,22,34,12,False
OC-202503-0030,2025-03,2025-03-03,MP-013,Latas y tapas para RTD,Colombia,COP,1,7680.2,6.4,0.0,4153,4153,191566314,0,34,35,1,True
OC-202504-0031,2025-04,2025-04-04,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,27893.6,8.23,229638.99,4233,4088,972061830,-33297653,62,62,0,True
OC-202504-0032,2025-04,2025-04-11,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,10334.8,14.95,154470.6,4233,4088,653874028,-22398236,74,77,3,True
OC-202504-0033,2025-04,2025-04-08,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,4457.0,11.72,52221.47,4233,4088,221053464,-7572112,68,67,-1,True
OC-202504-0034,2025-04,2025-04-22,MP-004,Creatina monohidrato,Alemania,USD,1,4378.7,14.41,63092.86,4233,4088,267072078,-9148464,55,70,15,False
OC-202504-0035,2025-04,2025-04-21,MP-005,Colágeno hidrolizado bovino,Brasil,USD,0,8117.7,1.65,13371.25,4233,4088,56600504,-1938831,38,35,-3,True
OC-202504-0036,2025-04,2025-04-26,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,6647.7,3.3,21945.92,4233,4088,92897070,-3182158,65,64,-1,True
