embajador_id,disciplina,ciudad,seguidores,engagement_pct,contenidos_mes,costo_mensual_cop,pedidos_con_codigo,venta_atribuida_cop,activo_desde,roi
MS-001,Running,Bogotá,17402,4.01,4,6318461,41,6965434,2025-01-24,1.1
MS-002,Calistenia,Bogotá,37373,1.03,1,400000,47,2756231,2025-05-24,6.89
MS-003,Fútbol,Medellín,40284,1.1,12,1449197,150,34171243,2025-08-21,23.58
MS-004,Running,Bogotá,14932,5.73,7,1720811,40,6349496,2026-01-07,3.69
MS-005,Fitness / Wellness,Barranquilla,17183,2.19,4,1233075,25,5830966,2026-06-22,4.73
MS-006,Powerlifting,Villavicencio,78135,4.35,4,2943156,137,22844048,2025-08-04,7.76
MS-007,Ciclismo,Manizales,14552,5.99,7,400000,2,270500,2025-12-15,0.68
MS-008,Fisicoculturismo,Cali,4300,9.82,11,1290808,5,1263888,2025-12-04,0.98
MS-009,Voleibol,Cali,8174,3.49,2,4734706,23,4767112,2025-04-15,1.01
MS-010,Powerlifting,Manizales,51899,5.28,2,2821616,234,35361580,2025-04-03,12.53
MS-011,Powerlifting,Barranquilla,7635,4.34,8,3808098,10,1339182,2026-05-02,0.35
MS-012,CrossFit,Bogotá,17817,6.57,4,851514,63,14856304,2025-10-24,17.45
MS-013,Voleibol,Bogotá,8178,5.54,8,4565467,2,303728,2026-02-19,0.07
MS-014,Fitness / Wellness,Bogotá,9969,4.32,3,2349011,53,9909851,2025-09-03,4.22
MS-015,CrossFit,Cartagena,2500,4.31,1,808779,2,293015,2026-03-20,0.36
MS-016,Running,Cali,4449,1.75,2,1714158,22,4701503,2025-02-14,2.74
MS-017,Powerlifting,Armenia,8313,4.79,6,1048654,37,4094417,2025-09-21,3.9
MS-018,Boxeo,Bogotá,7898,2.73,5,400000,30,5937607,2025-02-07,14.84
MS-019,Fisicoculturismo,Medellín,16138,4.15,6,3285674,14,1893921,2025-07-22,0.58
MS-020,Powerlifting,Barranquilla,13358,6.14,5,2346069,18,3562805,2025-08-03,1.52
MS-021,Voleibol,Barranquilla,69058,3.25,9,445430,226,20421620,2025-01-05,45.85
MS-022,Fútbol,Cali,43620,3.67,5,400000,57,7486080,2026-03-02,18.72
MS-023,Fútbol,Bucaramanga,79162,5.41,5,1536194,460,32362015,2025-12-31,21.07
MS-024,Running,Cartagena,31273,4.89,4,2037982,107,15011422,2025-09-27,7.37
MS-025,CrossFit,Bogotá,61598,5.58,6,1682573,108,25430271,2026-07-08,15.11
MS-026,Voleibol,Manizales,38493,5.73,6,1505214,57,10240333,2025-03-26,6.8
MS-027,Calistenia,Barranquilla,20097,3.1,12,1076104,36,9309788,2026-05-23,8.65
MS-028,Voleibol,Pereira,3503,2.1,4,1551575,19,2309441,2025-10-16,1.49
MS-029,CrossFit,Pereira,88827,5.02,3,1439723,278,63618549,2025-11-19,44.19
MS-030,Ciclismo,Cali,36995,3.74,3,2086491,176,42417799,2026-03-09,20.33
MS-031,Boxeo,Bogotá,13264,2.65,6,3492671,27,2666211,2026-03-19,0.76
MS-032,Running,Pereira,38535,3.42,5,1080427,117,23279018,2026-05-09,21.55
MS-033,CrossFit,Medellín,22607,6.65,7,2371778,134,21624011,2025-09-03,9.12
MS-034,Voleibol,Bogotá,37427,5.84,5,2553100,135,24235373,2026-04-08,9.49
