ensayo_id,lote_id,fecha,mes,sku,producto,linea,proteina_declarada_g,proteina_medida_g,cumple_proteina,humedad_pct,aerobios_ufc_g,metales_pesados_ppm,metodo,resultado
EN-00001,L202512-00881,2025-12-22,2025-12,STK-CRE-TAR,Crea Stack 1.3 lb,Polvos & Envasado,26.4,27.2,True,3.76,1174,0.101,NIR (analizador infrarrojo),Aprobado
EN-00002,L202507-00446,2025-07-27,2025-07,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,24.3,24.3,True,3.79,1011,0.054,NIR (analizador infrarrojo),Aprobado
EN-00003,L202512-00841,2025-12-04,2025-12,MEG-SOY,Mega Soy,Polvos & Envasado,22.3,22.5,True,4.04,110,0.002,Microbiología,Aprobado
EN-00004,L202602-01023,2026-02-13,2026-02,NUT-BAL,Nutra Balance x8 sobres,Sachets & Display,25.0,25.3,True,2.82,3212,0.07,Kjeldahl,Aprobado
EN-00005,L202510-00661,2025-10-09,2025-10,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,26.9,27.4,True,2.85,927,0.051,Kjeldahl,Aprobado
EN-00006,L202604-01207,2026-04-10,2026-04,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),25.6,26.1,True,3.67,258,0.023,NIR (analizador infrarrojo),Aprobado
EN-00007,L202508-00514,2025-08-08,2025-08,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,25.5,25.3,True,2.96,290,0.103,Absorción atómica,Aprobado
EN-00008,L202606-01361,2026-06-15,2026-06,RAD-ENX,Energy X,Polvos & Envasado,24.1,24.6,True,4.71,3236,0.122,Microbiología,Aprobado
EN-00009,L202502-00128,2025-02-24,2025-02,NUT-VEG-400,Nutra Vegan Protein Mocaccino,Polvos & Envasado,23.1,22.6,True,2.73,579,0.001,Microbiología,Aprobado
EN-00010,L202506-00368,2025-06-26,2025-06,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,23.3,23.4,True,2.86,164,0.04,Absorción atómica,Cuarentena
EN-00011,L202511-00752,2025-11-09,2025-11,MEG-CRE-10,Megaplex Creatine Power 10 lb,Polvos & Envasado,23.4,23.4,True,3.57,1117,0.005,Microbiología,Aprobado
EN-00012,L202501-00044,2025-01-18,2025-01,NUT-BAL,Nutra Balance x8 sobres,Sachets & Display,23.0,24.5,True,5.37,1151,0.06,Kjeldahl,Aprobado
EN-00013,L202503-00180,2025-03-03,2025-03,NUT-BAL,Nutra Balance x8 sobres,Sachets & Display,22.6,23.1,True,3.86,295,0.002,Absorción atómica,Aprobado
EN-00014,L202508-00569,2025-08-17,2025-08,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),23.6,23.6,True,4.63,267,0.319,NIR (analizador infrarrojo),Aprobado
EN-00015,L202504-00242,2025-04-06,2025-04,MEG-CRE-2,Megaplex Creatine Power 2 lb,Polvos & Envasado,26.3,24.9,False,3.95,1277,0.017,NIR (analizador infrarrojo),Aprobado
EN-00016,L202505-00341,2025-05-27,2025-05,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),26.6,26.4,True,3.63,1060,0.068,NIR (analizador infrarrojo),Cuarentena
EN-00017,L202506-00370,2025-06-08,2025-06,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,24.0,24.2,True,3.08,545,0.06,Microbiología,Aprobado
EN-00018,L202601-00899,2026-01-10,2026-01,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,22.8,22.8,True,2.97,1998,0.165,NIR (analizador infrarrojo),Aprobado
EN-00019,L202502-00142,2025-02-10,2025-02,STK-BUR-TAR,Burner Stack 360 g,Polvos & Envasado,25.0,26.7,True,4.2,136,0.328,NIR (analizador infrarrojo),Aprobado
EN-00020,L202506-00413,2025-06-09,2025-06,RAD-RES-24,Rescue · paca x24,Bebidas RTD (lata),25.3,24.7,True,3.51,306,0.028,Kjeldahl,Aprobado
EN-00021,L202603-01086,2026-03-11,2026-03,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,22.9,24.1,True,2.57,2493,0.007,NIR (analizador infrarrojo),Aprobado
EN-00022,L202608-01505,2026-08-12,2026-08,MEG-CRE-2,Megaplex Creatine Power 2 lb,Polvos & Envasado,23.9,23.5,True,2.97,1270,0.053,Absorción atómica,Aprobado
EN-00023,L202604-01153,2026-04-04,2026-04,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,26.5,27.7,True,2.71,1853,0.026,NIR (analizador infrarrojo),Aprobado
EN-00024,L202601-00928,2026-01-24,2026-01,MEG-CRE-2,Megaplex Creatine Power 2 lb,Polvos & Envasado,22.4,22.5,True,2.96,329,0.07,NIR (analizador infrarrojo),Aprobado
EN-00025,L202512-00836,2025-12-22,2025-12,MEG-GAI-3,Gainz 3 lb,Polvos & Envasado,25.4,26.2,True,1.21,853,0.157,NIR (analizador infrarrojo),Aprobado
EN-00026,L202505-00279,2025-05-22,2025-05,ALI-CAK-CHO,Protein Cake Chocolate,Horneados & Mezclas,24.3,22.1,False,2.64,858,0.01,Kjeldahl,Aprobado
