mes,ingresos_cop,costo_ventas_cop,margen_bruto_cop,margen_bruto_pct,gasto_marketing_cop,gasto_logistica_cop,gasto_nomina_cop,gasto_admin_cop,gasto_tiendas_cop,ebitda_cop,ebitda_pct,depreciacion_cop,gasto_financiero_cop,diferencia_en_cambio_cop,utilidad_antes_impuestos_cop,utilidad_neta_cop
2025-01,8122902298,3744775000,4378127298,53.9,413852400,314102070,1686210082,446370398,272588853,1245003495,15.3,170580948,132892251,-144550466,796979830,518036889
2025-02,6712142051,3133275300,3578866751,53.3,304847692,255872310,1658030406,344217094,180062824,835836425,12.5,140954983,117074133,-32501238,545306071,354448946
2025-03,6506284890,3053582100,3452702790,53.1,417109082,258473799,1674762397,301002749,176644914,624709849,9.6,136631982,60689321,-541491,426847055,277450585
2025-04,5788948322,2766416800,3022531522,52.2,341861274,222163336,1619587387,359251586,174464269,305203670,5.3,121567914,105031598,-77537454,1066704,693357
2025-05,6099098627,2916206300,3182892327,52.2,372122392,229406100,1693565718,318450915,245494049,323853153,5.3,128081071,93900775,-70518213,31353094,20379511
2025-06,6803332567,3238329500,3565003067,52.4,439844253,262359928,1694255230,312013219,193941023,662589414,9.7,142869983,69967466,12647970,462399935,300559957
2025-07,6902449891,3308558800,3593891091,52.1,407025036,261235411,1627627182,302591001,257810385,737602076,10.7,144951447,125348930,91684842,558986541,363341251
2025-08,6354827352,3031892200,3322935152,52.3,362187024,247332053,1670378360,288838757,171163317,583035641,9.2,133451374,82468937,25103182,392218512,254942032
2025-09,5976381885,2882353900,3094027985,51.8,307099333,227848782,1690640176,260988180,164372215,443079299,7.4,125504019,104529292,-68214769,144831219,94140292
2025-10,6408782563,3038410300,3370372263,52.6,281369843,243901863,1667188360,331048985,167986686,678876526,10.6,134584433,92968827,-65467257,385856009,250806405
2025-11,7101352990,3375409400,3725943590,52.5,332476356,270710103,1612887490,370460176,243443556,895965909,12.6,149128412,121259327,-66104233,559473937,363658059
2025-12,7827440369,3742171200,4085269169,52.2,407120957,290417093,1706633137,455442206,225484952,1000170824,12.8,164376247,150769773,27610313,712635117,463212826
2026-01,10328683988,4949769500,5378914488,52.1,541245950,420186947,1660176449,488545470,298860139,1969899533,19.1,216902363,193489071,77642684,1637150783,1064148008
2026-02,8269516978,3941068100,4328448878,52.3,546988486,315310646,1616469687,501287553,280660842,1067731664,12.9,173659856,199407313,-3618405,691046090,449179958
2026-03,7926864340,3745803100,4181061240,52.7,421968892,304010575,1682281388,489358846,282064558,1001376981,12.6,166464151,185063432,-58362034,591487364,384466786
2026-04,7834005761,3776196600,4057809161,51.8,340330732,331555956,1626288994,374229050,246961760,1138442669,14.5,164514120,107237181,-70561718,796129650,517484272
2026-05,7926025455,3789096500,4136928955,52.2,339474844,340664706,1623999652,457559921,209889355,1165340477,14.7,166446534,126566181,-95523039,776804723,504923069
2026-06,8680310312,4162441300,4517869012,52.0,450384577,340007240,1705039429,455498145,258042017,1308897604,15.1,182286516,187179251,0,939431837,610630694
2026-07,8205778148,3897292000,4308486148,52.5,408984942,366666225,1664841982,373925766,273316934,1220750299,14.9,172321341,150576464,36300218,934152712,607199262
2026-08,7783446082,3701666400,4081779682,52.4,475196892,307181251,1622492796,426723558,278663865,971521320,12.5,163452367,141046809,0,667022144,433564393
