sku,producto,marca,categoria,bodega_id,bodega,ciudad,tipo_bodega,stock_unidades,demanda_diaria,dias_cobertura,valor_inventario_cop,estado,lote_mas_antiguo_dias,proximo_a_vencer
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,BOD-PAL,Planta Palmira · Cantarrana,Palmira,Planta,1226,38.19,32.1,58357600,Normal,35,False
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,BOD-YUM,CD Yumbo · ELITENUT bodega C-11,Yumbo,Centro dist.,730,23.64,30.9,34748000,Normal,199,False
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,3PL-BOG,3PL MELONN Bogotá,Bogotá,3PL,765,12.73,60.1,36414000,Exceso,3,False
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,3PL-MED,3PL MELONN Medellín,Medellín,3PL,258,7.27,35.5,12280800,Normal,36,False
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,BOD-TDA,Tiendas Nutramerican (8),Nacional,Tienda,45,9.09,5.0,2142000,Crítico,153,False
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,BOD-PAL,Planta Palmira · Cantarrana,Palmira,Planta,662,35.68,18.6,62625200,Bajo,119,False
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,BOD-YUM,CD Yumbo · ELITENUT bodega C-11,Yumbo,Centro dist.,1323,22.09,59.9,125155800,Normal,36,False
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,3PL-BOG,3PL MELONN Bogotá,Bogotá,3PL,538,11.89,45.3,50894800,Normal,110,False
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,3PL-MED,3PL MELONN Medellín,Medellín,3PL,234,6.8,34.5,22136400,Normal,13,False
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,BOD-TDA,Tiendas Nutramerican (8),Nacional,Tienda,39,8.5,4.7,3689400,Crítico,94,False
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,BOD-PAL,Planta Palmira · Cantarrana,Palmira,Planta,1371,35.08,39.1,129696600,Normal,96,False
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,BOD-YUM,CD Yumbo · ELITENUT bodega C-11,Yumbo,Centro dist.,839,21.72,38.6,79369400,Normal,155,False
