mes,canal,inversion_cop,ingresos_cop,roas,clientes_nuevos,impresiones,clics,cac_cop
2025-01,Meta Ads,120017196,559243193,4.66,3200,5579798,64198,37505.0
2025-01,Google Ads,78631956,470297943,5.98,1660,3720089,60522,47369.0
2025-01,TikTok Ads,49662288,112349849,2.26,1040,2763842,29180,47752.0
2025-01,YouTube,24831144,53686846,2.16,595,1027399,24249,41733.0
2025-01,Email & CRM,12415572,142383811,11.47,255,516851,13530,48689.0
2025-01,WhatsApp,12415572,85224925,6.86,284,501806,17124,43717.0
2025-01,Megaplex Stars,66216384,187829420,2.84,1911,4215329,50432,34650.0
2025-01,Orgánico / SEO,0,512382988,,1206,114247,20019,0.0
2025-01,Eventos & Ferias,49662288,82483838,1.66,1267,3014939,36157,39197.0
2025-02,Meta Ads,88405832,307443395,3.48,1340,4142732,49174,65975.0
2025-02,Google Ads,57921062,319829700,5.52,986,3440327,65727,58743.0
2025-02,TikTok Ads,36581723,104185809,2.85,785,1629283,28923,46601.0
2025-02,YouTube,18290861,34422402,1.88,331,1469134,19647,55259.0
2025-02,Email & CRM,9145430,122289581,13.37,177,719558,8046,51669.0
2025-02,WhatsApp,9145430,65962878,7.21,190,601483,6706,48134.0
2025-02,Megaplex Stars,48775631,164844984,3.38,981,3842477,46893,49720.0
2025-02,Orgánico / SEO,0,370311793,,425,378610,13833,0.0
2025-02,Eventos & Ferias,36581723,88813924,2.43,522,1602122,24185,70080.0
2025-03,Meta Ads,120961634,630118810,5.21,1648,4746064,106750,73399.0
2025-03,Google Ads,79250726,505916837,6.38,1061,3484143,51134,74694.0
2025-03,TikTok Ads,50053090,147311114,2.94,557,2536777,36417,89862.0
2025-03,YouTube,25026545,61730909,2.47,342,1324563,24607,73177.0
2025-03,Email & CRM,12513272,124576757,9.96,130,538771,17858,96256.0
2025-03,WhatsApp,12513272,103842282,8.3,129,1066148,12704,97002.0
2025-03,Megaplex Stars,66737453,238961906,3.58,850,5537026,44432,78515.0
2025-03,Orgánico / SEO,0,358299983,,555,419677,4898,0.0
2025-03,Eventos & Ferias,50053090,127727245,2.55,675,2477939,26570,74153.0
2025-04,Meta Ads,99139770,254634727,2.57,1101,5185966,122256,90045.0
2025-04,Google Ads,64953642,364687101,5.61,747,5704173,83936,86953.0
2025-04,TikTok Ads,41023353,107711597,2.63,568,1982739,38914,72224.0
2025-04,YouTube,20511676,34171506,1.67,274,811151,13068,74860.0
2025-04,Email & CRM,10255838,139997374,13.65,152,434926,9444,67473.0
2025-04,WhatsApp,10255838,91531999,8.92,141,467719,8468,72736.0
2025-04,Megaplex Stars,54697804,155526136,2.84,664,3202633,51745,82376.0
2025-04,Orgánico / SEO,0,319766222,,410,440464,10591,0.0
2025-04,Eventos & Ferias,41023353,88312319,2.15,566,2397689,24533,72479.0
2025-05,Meta Ads,107915495,334618150,3.1,1715,4365295,78858,62924.0
2025-05,Google Ads,70703255,360727812,5.1,793,3397629,73022,89159.0
2025-05,TikTok Ads,44654687,104127447,2.33,543,3618064,41944,82237.0
2025-05,YouTube,22327343,41860877,1.87,350,1441121,25179,63792.0
2025-05,Email & CRM,11163671,101882170,9.13,140,574851,7410,79741.0
2025-05,WhatsApp,11163671,123820536,11.09,155,464553,11941,72024.0
2025-05,Megaplex Stars,59539583,196837672,3.31,727,2385479,64961,81898.0
2025-05,Orgánico / SEO,0,353991898,,403,420480,17910,0.0
2025-05,Eventos & Ferias,44654687,87969555,1.97,516,2283218,33765,86540.0
2025-06,Meta Ads,127554834,392696896,3.08,1459,5382422,81275,87426.0
2025-06,Google Ads,83570409,432439583,5.17,1125,3409932,115038,74285.0
2025-06,TikTok Ads,52781310,136888855,2.59,734,2627208,50576,71909.0
2025-06,YouTube,26390655,61468159,2.33,307,1237738,19616,85963.0
2025-06,Email & CRM,13195327,148729436,11.27,148,1003854,12943,89158.0
2025-06,WhatsApp,13195327,113692926,8.62,183,807202,8268,72106.0
2025-06,Megaplex Stars,70375081,243671343,3.46,1017,2883865,48405,69199.0
2025-06,Orgánico / SEO,0,463796885,,679,222608,6077,0.0
2025-06,Eventos & Ferias,52781310,81819788,1.55,760,3682944,38808,69449.0
2025-07,Meta Ads,118037261,404003102,3.42,1539,7556979,72102,76697.0
2025-07,Google Ads,77334757,268118470,3.47,821,4933090,58533,94196.0
2025-07,TikTok Ads,48843004,99273664,2.03,675,2104190,29473,72360.0
2025-07,YouTube,24421502,34850819,1.43,292,1025049,28918,83635.0
2025-07,Email & CRM,12210751,174948214,14.33,139,756272,10673,87847.0
2025-07,WhatsApp,12210751,103196330,8.45,178,901204,10705,68600.0
2025-07,Megaplex Stars,65124006,197708482,3.04,905,3202373,58441,71960.0
2025-07,Orgánico / SEO,0,388019031,,437,370655,11835,0.0
2025-07,Eventos & Ferias,48843004,71203323,1.46,524,1963525,37697,93212.0
2025-08,Meta Ads,105034238,326185020,3.11,1520,4582869,57034,69101.0
2025-08,Google Ads,68815535,286725678,4.17,881,3225183,99312,78111.0
2025-08,TikTok Ads,43462443,91249437,2.1,506,3279120,45271,85894.0
2025-08,YouTube,21731221,43968399,2.02,227,1541542,12921,95732.0
2025-08,Email & CRM,10865610,142507517,13.12,129,656764,7660,84230.0
2025-08,WhatsApp,10865610,79767134,7.34,104,540134,9541,104477.0
2025-08,Megaplex Stars,57949924,152577633,2.63,898,3371243,36953,64532.0
2025-08,Orgánico / SEO,0,401532381,,406,369718,5931,0.0
2025-08,Eventos & Ferias,43462443,84636136,1.95,505,2208750,27351,86064.0
2025-09,Meta Ads,89058807,333796709,3.75,865,6989265,72664,102958.0
2025-09,Google Ads,58348873,343993063,5.9,760,2631345,44869,76775.0
2025-09,TikTok Ads,36851920,109260191,2.96,398,1550332,29653,92593.0
2025-09,YouTube,18425960,33353501,1.81,255,1388207,15549,72259.0
2025-09,Email & CRM,9212980,76457534,8.3,99,388220,5821,93060.0
2025-09,WhatsApp,9212980,86100911,9.35,143,601782,7411,64426.0
2025-09,Megaplex Stars,49135893,130835681,2.66,549,3770179,51689,89501.0
2025-09,Orgánico / SEO,0,330485872,,312,457349,18767,0.0
2025-09,Eventos & Ferias,36851920,70411045,1.91,459,1652664,45728,80287.0
2025-10,Meta Ads,81597255,251526511,3.08,1146,4589308,43456,71202.0
2025-10,Google Ads,53460271,252014531,4.71,776,2140685,29142,68892.0
2025-10,TikTok Ads,33764381,84090845,2.49,685,1564136,26372,49291.0
2025-10,YouTube,16882190,27736786,1.64,278,822354,19778,60727.0
2025-10,Email & CRM,8441095,100202691,11.87,161,741160,4762,52429.0
2025-10,WhatsApp,8441095,73131919,8.66,171,603132,8042,49363.0
2025-10,Megaplex Stars,45019175,114778080,2.55,744,3027401,31792,60510.0
2025-10,Orgánico / SEO,0,341774420,,474,414624,9847,0.0
2025-10,Eventos & Ferias,33764381,78234053,2.32,733,1688425,23376,46063.0
2025-11,Meta Ads,96418144,309746651,3.21,1776,6061614,83778,54289.0
2025-11,Google Ads,63170508,226500082,3.59,938,2827831,52605,67346.0
2025-11,TikTok Ads,39897163,82697893,2.07,616,2158730,28286,64768.0
2025-11,YouTube,19948581,28891824,1.45,298,1747914,17016,66942.0
2025-11,Email & CRM,9974290,122784085,12.31,192,809586,6032,51949.0
2025-11,WhatsApp,9974290,123177707,12.35,205,428146,10560,48655.0
2025-11,Megaplex Stars,53196217,203099848,3.82,1085,3568824,50621,49029.0
2025-11,Orgánico / SEO,0,362465288,,555,424294,20474,0.0
2025-11,Eventos & Ferias,39897163,63509006,1.59,669,1757242,25853,59637.0
2025-12,Meta Ads,118065079,391403722,3.32,1361,4777782,86088,86749.0
2025-12,Google Ads,77352982,345591258,4.47,1150,4233325,62599,67263.0
2025-12,TikTok Ads,48854515,132202660,2.71,555,2044317,34380,88026.0
2025-12,YouTube,24427257,48301309,1.98,271,1202872,15063,90137.0
2025-12,Email & CRM,12213628,172781273,14.15,185,564044,6831,66020.0
2025-12,WhatsApp,12213628,101693440,8.33,202,880460,12167,60464.0
2025-12,Megaplex Stars,65139353,209848977,3.22,780,5896781,51876,83512.0
2025-12,Orgánico / SEO,0,381298191,,550,422375,13550,0.0
2025-12,Eventos & Ferias,48854515,74727451,1.53,802,3091986,26890,60916.0
2026-01,Meta Ads,156961326,446254284,2.84,1901,10226094,93233,82568.0
2026-01,Google Ads,102836731,557649166,5.42,1411,7274248,59341,72882.0
2026-01,TikTok Ads,64949514,135899777,2.09,1072,4158436,51507,60587.0
2026-01,YouTube,32474757,75337767,2.32,522,1556573,22593,62212.0
2026-01,Email & CRM,16237378,237559363,14.63,246,672241,8883,66006.0
2026-01,WhatsApp,16237378,157688645,9.71,220,1238892,13552,73806.0
2026-01,Megaplex Stars,86599352,214885300,2.48,1353,5910724,102662,64005.0
2026-01,Orgánico / SEO,0,542540774,,587,256288,19417,0.0
