pqr_id,fecha,mes,motivo,canal,ciudad,estado,horas_primera_respuesta,horas_cierre,cumple_sla_4h,csat,requiere_agente_humano
PQR-202501-00001,2025-01-22,2025-01,Demora en la entrega,WhatsApp,Pereira,Cerrado,0.1,6.0,True,4.0,False
PQR-202501-00002,2025-01-16,2025-01,Contenido incompleto del envase,Chat del sitio,Bogotá,Escalado,2.7,47.7,True,2.0,True
PQR-202501-00003,2025-01-19,2025-01,Duda sobre uso del producto,Línea gratuita #590,Bogotá,Cerrado,1.5,9.0,True,3.0,False
PQR-202501-00004,2025-01-01,2025-01,Faltante en el pedido,Chat del sitio,Barranquilla,Cerrado,1.7,59.4,True,3.0,False
PQR-202501-00005,2025-01-04,2025-01,Demora en la entrega,WhatsApp,Pereira,Cerrado,2.1,31.2,True,4.0,False
PQR-202501-00006,2025-01-26,2025-01,Faltante en el pedido,WhatsApp,Barranquilla,Cerrado,0.6,26.1,True,3.0,False
PQR-202501-00007,2025-01-17,2025-01,Demora en la entrega,WhatsApp,Cartagena,Cerrado,2.2,29.4,True,5.0,False
PQR-202501-00008,2025-01-26,2025-01,Duda sobre uso del producto,Correo electrónico,Bogotá,Cerrado,0.9,24.7,True,3.0,False
PQR-202501-00009,2025-01-01,2025-01,Solicitud de factura electrónica,WhatsApp,Barranquilla,Cerrado,0.1,1.2,True,3.0,False
PQR-202501-00010,2025-01-21,2025-01,Demora en la entrega,Chat del sitio,Manizales,Cerrado,2.1,11.6,True,4.0,False
PQR-202501-00011,2025-01-13,2025-01,Demora en la entrega,Línea gratuita #590,Bogotá,Cerrado,2.6,17.6,True,5.0,False
PQR-202501-00012,2025-01-27,2025-01,Contenido incompleto del envase,WhatsApp,Bogotá,Escalado,0.7,1.7,True,4.0,True
PQR-202501-00013,2025-01-03,2025-01,Contenido incompleto del envase,WhatsApp,Medellín,Cerrado,1.9,16.3,True,3.0,False
PQR-202501-00014,2025-01-08,2025-01,Cambio o garantía,Línea gratuita #590,Medellín,Cerrado,2.6,49.7,True,5.0,False
PQR-202501-00015,2025-01-13,2025-01,Producto averiado en transporte,Línea gratuita #590,Bogotá,Cerrado,2.8,24.8,True,3.0,False
PQR-202501-00016,2025-01-26,2025-01,Contenido incompleto del envase,Chat del sitio,Medellín,Escalado,9.3,106.3,False,2.0,True
PQR-202501-00017,2025-01-06,2025-01,Producto averiado en transporte,WhatsApp,Cali,Cerrado,0.8,36.6,True,4.0,False
PQR-202501-00018,2025-01-15,2025-01,Producto averiado en transporte,Tienda física,Bogotá,Cerrado,3.5,4.5,True,3.0,False
PQR-202501-00019,2025-01-20,2025-01,Camiseta personalizada pendiente,Línea gratuita #590,Bucaramanga,Cerrado,0.1,56.2,True,5.0,False
PQR-202501-00020,2025-01-16,2025-01,Producto averiado en transporte,Chat del sitio,Medellín,Cerrado,1.2,32.1,True,3.0,False
PQR-202501-00021,2025-01-17,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,1.7,22.1,True,5.0,False
