sku,producto,marca,categoria,canal,tipo_canal,pais,pvp_gondola_cop,precio_neto_cop,costo_unitario_cop,margen_cop,margen_pct
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,120900,120900,47600,73300,60.6
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,120300,120300,47600,72700,60.4
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,140200,98100,47600,50500,51.5
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,147300,97200,47600,49600,51.0
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,143300,103200,47600,55600,53.9
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,136200,100800,47600,53200,52.8
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,143900,103600,47600,56000,54.1
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,137300,101600,47600,54000,53.1
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,140000,103600,47600,56000,54.1
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,167300,133800,47600,86200,64.4
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,179000,152200,47600,104600,68.7
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,252600,252600,94600,158000,62.5
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,247700,247700,94600,153100,61.8
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,292900,205000,94600,110400,53.9
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,313100,206600,94600,112000,54.2
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,310800,223800,94600,129200,57.7
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,284300,210400,94600,115800,55.0
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,312800,225200,94600,130600,58.0
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,276200,204400,94600,109800,53.7
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,295000,218300,94600,123700,56.7
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,351800,281400,94600,186800,66.4
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,389700,331200,94600,236600,71.4
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,253600,253600,94600,159000,62.7
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,255200,255200,94600,160600,62.9
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,288100,201700,94600,107100,53.1
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,313400,206800,94600,112200,54.3
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,295400,212700,94600,118100,55.5
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,285900,211600,94600,117000,55.3
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,307200,221200,94600,126600,57.2
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,289300,214100,94600,119500,55.8
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,295100,218400,94600,123800,56.7
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,356100,284900,94600,190300,66.8
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,371600,315900,94600,221300,70.1
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,256900,256900,92100,164800,64.1
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,252300,252300,92100,160200,63.5
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,298500,209000,92100,116900,55.9
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,323600,213600,92100,121500,56.9
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,293400,211200,92100,119100,56.4
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,305100,225800,92100,133700,59.2
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,324800,233900,92100,141800,60.6
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,294000,217600,92100,125500,57.7
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,299200,221400,92100,129300,58.4
