sku,producto,marca,categoria,presentacion,pvp_cop,pvp_promo_cop,imagen,fecha_lanzamiento,costo_unitario_cop,linea,precio_efectivo_cop,descuento_web_pct
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,0.9 lb tarro,119000,,bipro-classic-vainilla-0-9lb.webp,2019-01-15,47600,Polvos & Envasado,119000,0.0
BIP-CLA-2V,BiPro Classic Vainilla 2 lb,BiPro,Módulos proteicos,2 lb tarro,249000,,bipro-classic-vainilla-2lb.webp,2019-01-15,94600,Polvos & Envasado,249000,0.0
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,2 lb tarro,249000,,bipro-classic-chocolate-2lb.webp,2019-01-15,94600,Polvos & Envasado,249000,0.0
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,2 lb tarro,249000,,bipro-classic-natural.webp,2020-06-01,92100,Polvos & Envasado,249000,0.0
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,caja sachets,124000,,bipro-classic-display.webp,2023-02-01,54600,Sachets & Display,124000,0.0
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,3 lb + regalo,329000,,bipro-classic-cookies-cream-3lb-gratis-nutra-pops-ca.webp,2026-01-15,138200,Polvos & Envasado,329000,0.0
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,3 lb + regalo,329000,,bipro-classic-vainilla-3lb-gratis-nutra-pops-caja.webp,2026-01-15,138200,Polvos & Envasado,329000,0.0
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,3 lb + regalo,329000,,bipro-classic-3lb-capuccino-gratis-nutra-pops-caja.webp,2026-01-15,138200,Polvos & Envasado,329000,0.0
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,2.1 lb tarro,249000,224100.0,bipro-complex-vainilla-2-1-lb.webp,2024-05-01,97100,Polvos & Envasado,224100,10.0
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,2.4 lb tarro,249000,,bipro-lite.webp,2021-03-01,94600,Polvos & Envasado,249000,0.0
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,3 lb tarro,249000,,bipro-mass.webp,2021-09-01,102100,Polvos & Envasado,249000,0.0
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,2 lb tarro,79900,,megaplex-creatine-power-2lb.webp,2019-05-01,28800,Polvos & Envasado,79900,0.0
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,10 lb tarro,299900,,megaplex-creatine-power-10lb.webp,2022-08-01,102000,Polvos & Envasado,299900,0.0
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,3 lb tarro,114990,,gainz-3lb.webp,2020-02-01,49400,Polvos & Envasado,114990,0.0
