mes,tienda_id,tienda,ciudad,area_m2,visitas,tickets,conversion_pct,venta_cop,margen_cop,unidades,ticket_promedio_cop,unidades_por_ticket,venta_m2_cop,arriendo_cop,nomina_cop,costo_fijo_cop,contribucion_cop
2025-01,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3675,1017,27.7,247244196,145467996,2338,243111,2.3,2747157,6957540,9611560,16569100,128898896
2025-01,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2638,736,27.9,181732178,107102978,1707,246918,2.32,2329899,5457036,5954097,11411133,95691845
2025-01,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,5652,1682,29.8,409344623,242204523,3850,243367,2.29,3411205,8820000,7277220,16097220,226107303
2025-01,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,4893,1362,27.8,333685244,196417144,3080,244996,2.26,3512476,6538945,6000969,12539914,183877230
2025-01,TDA-CALI,Nutramerican Cali,Cali,140,7291,1828,25.1,438393914,259882014,4134,239821,2.26,3131385,9290820,11399950,20690770,239191244
2025-01,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2174,515,23.7,128909821,75785621,1216,250310,2.36,1895732,5423408,7894521,13317929,62467692
2025-01,TDA-MED,Nutramerican Medellín,Medellín,110,6478,1489,23.0,357599316,212593916,3356,240160,2.25,3250902,9298300,9367884,18666184,193927732
2025-01,TDA-PEI,Nutramerican Pereira,Pereira,72,2490,636,25.5,149169226,87485126,1432,234542,2.25,2071794,5127048,8531524,13658572,73826554
2025-02,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,5856,814,13.9,192872929,113217729,1843,236944,2.26,2143032,5990670,7085382,13076052,100141677
2025-02,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2405,586,24.4,140423952,82414252,1348,239631,2.3,1800307,5661864,13411770,19073634,63340618
2025-02,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,5029,1387,27.6,344227452,201047752,3221,248181,2.32,2868562,9187560,6893904,16081464,184966288
2025-02,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,5169,1023,19.8,258084466,151916266,2407,252281,2.35,2716678,7028765,8588960,15617725,136298541
2025-02,TDA-CALI,Nutramerican Cali,Cali,140,6405,1412,22.0,353541455,206835455,3232,250383,2.29,2525296,8174600,7291074,15465674,191369781
2025-02,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2868,395,13.8,104490239,61222639,924,264532,2.34,1536621,4562732,10606096,15168828,46053811
2025-02,TDA-MED,Nutramerican Medellín,Medellín,110,4648,1196,25.7,290618558,170718158,2751,242992,2.3,2641986,8602990,8655612,17258602,153459556
2025-02,TDA-PEI,Nutramerican Pereira,Pereira,72,1665,501,30.1,119345730,69119430,1131,238215,2.26,1657579,4542624,7609410,12152034,56967396
2025-03,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,4274,766,17.9,177665705,103220205,1757,231939,2.29,1974063,5873850,8272960,14146810,89073395
2025-03,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2009,579,28.8,139619689,80900589,1322,241139,2.28,1789996,4807140,7791052,12598192,68302397
2025-03,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,6821,1314,19.3,313510905,182217805,2953,238592,2.25,2612590,10036560,10274184,20310744,161907061
2025-03,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,3776,1019,27.0,251244295,145043895,2355,246559,2.31,2644676,6042950,13147335,19190285,125853610
2025-03,TDA-CALI,Nutramerican Cali,Cali,140,7829,1385,17.7,322854689,188772989,3208,233108,2.32,2306104,8364440,11901400,20265840,168507149
2025-03,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1245,383,30.8,91972860,54167260,848,240138,2.21,1352542,5485764,10140025,15625789,38541471
2025-03,TDA-MED,Nutramerican Medellín,Medellín,110,4175,1115,26.7,280187216,163666216,2615,251288,2.35,2547156,7523010,9121272,16644282,147021934
